timestamp,cpu_percent,memory_percent,memory_mb,active_workers,queued_tasks
2025-12-11T16:57:54.694000,26.6,70.1,5472.46875,1,9
2025-12-11T16:57:55.697346,26.9,70.1,5473.55078125,1,9
2025-12-11T16:57:56.702191,26.8,70.1,5476.95703125,1,9
2025-12-11T16:57:57.706501,27.1,70.1,5477.86328125,1,9
2025-12-11T16:57:58.710798,26.8,70.2,5478.84765625,1,9
2025-12-11T16:57:59.715531,27.5,70.2,5480.6796875,1,9
2025-12-11T16:58:00.718776,26.9,70.2,5483.390625,1,9
2025-12-11T16:58:01.721619,28.0,70.2,5482.83984375,1,9
2025-12-11T16:58:02.725724,27.4,70.2,5485.67578125,1,9
2025-12-11T16:58:03.729961,27.6,70.2,5486.421875,1,9
2025-12-11T16:58:04.732837,27.0,70.2,5486.5234375,1,9
2025-12-11T16:58:05.736564,27.5,70.0,5464.82421875,1,9
2025-12-11T16:58:06.739657,27.0,69.9,5457.10546875,1,9
2025-12-11T16:58:07.742661,25.7,69.2,5405.58984375,1,9
2025-12-11T16:58:08.745810,27.8,69.4,5418.05859375,1,9
2025-12-11T16:58:09.748490,27.9,69.4,5418.68359375,1,9
2025-12-11T16:58:10.750792,16.1,59.7,4664.6953125,1,9
2025-12-11T16:58:11.753359,17.2,64.0,4997.7109375,1,9
2025-12-11T16:58:12.756977,21.4,67.4,5262.4375,1,9
2025-12-11T16:58:13.760693,27.1,68.7,5364.2265625,1,9
2025-12-11T16:58:14.763878,26.4,68.8,5373.98828125,1,9
2025-12-11T16:58:15.767993,27.2,68.9,5379.0859375,1,9
2025-12-11T16:58:16.772222,27.6,68.9,5379.03515625,1,9
2025-12-11T16:58:17.777019,27.6,68.9,5381.67578125,1,9
2025-12-11T16:58:18.782044,26.8,68.9,5383.56640625,1,9
2025-12-11T16:58:19.786664,27.1,69.0,5386.03515625,1,9
2025-12-11T16:58:20.790203,26.7,69.0,5391.328125,1,9
2025-12-11T16:58:21.792989,27.5,69.1,5393.0703125,1,9
2025-12-11T16:58:22.796178,25.6,69.1,5393.578125,1,9
2025-12-11T16:58:23.799932,26.6,69.1,5399.48046875,1,9
2025-12-11T16:58:24.804275,27.1,69.1,5399.6640625,1,9
2025-12-11T16:58:25.808539,24.6,69.1,5400.51953125,1,9
2025-12-11T16:58:26.812057,26.6,69.2,5400.91796875,1,9
2025-12-11T16:58:27.814989,26.6,69.2,5404.81640625,1,9
2025-12-11T16:58:28.818626,26.9,69.2,5404.72265625,1,9
2025-12-11T16:58:29.822029,26.7,69.2,5405.1875,1,9
2025-12-11T16:58:30.825365,27.0,69.2,5404.87890625,1,9
2025-12-11T16:58:31.830119,26.6,69.2,5405.16796875,1,9
2025-12-11T16:58:32.833635,27.3,69.2,5406.3984375,1,9
2025-12-11T16:58:33.837402,26.6,69.3,5409.96875,1,9
2025-12-11T16:58:34.841076,28.2,69.3,5410.0078125,1,9
2025-12-11T16:58:35.844221,26.8,69.3,5411.09765625,1,9
2025-12-11T16:58:36.847935,27.6,69.3,5412.05078125,1,9
2025-12-11T16:58:37.851849,27.0,69.3,5414.01953125,1,9
2025-12-11T16:58:38.854741,27.1,69.4,5419.39453125,1,9
